Compte,Album (nb),IGTV (nb),Photo (nb),Video (nb),Album (vues),IGTV (vues),Photo (vues),Video (vues),Publications totales,IGTV+Video (nb),IGTV+Video (vues)
20 Minutes,50,217,802,42,0,4582966,0,495716,1111,259,5078682
beIN SPORTS FRANCE,50,150,2359,492,0,4560057,0,11032830,3051,642,15592887
BFMTV,27,219,41,17,1198196,3475959,0,281551,304,236,3757510
Brut,14,677,9,154,5223694,267141333,0,27848692,854,831,294990025
Charente Libre,10,14,10,,0,29394,0,,34,14,29394
CNEWS,,55,3,10,,133194,0,24632,68,65,157826
Corse-Matin,8,1,203,32,0,5094,0,329316,244,33,334410
Courrier International,17,47,287,1,0,1243235,0,12595,352,48,1255830
Courrier picard,48,3,103,2,0,6847,0,4738,156,5,11585
Dernières Nouvelles d'Alsace,89,22,111,13,0,64299,0,55303,235,35,119602
Europe1,69,168,147,27,0,2058360,0,150642,411,195,2209002
FRANCE 24,418,151,286,66,259474,8414025,0,2366734,921,217,10780759
France 3 | Télévision,60,107,96,46,15900,4117479,0,295623,309,153,4413102
France 3 Alpes,17,76,385,33,24774,691156,0,240117,511,109,931273
France 3 Alsace,21,188,70,31,957,172991,0,35562,310,219,208553
France 3 Auvergne,59,25,95,7,115368,66860,0,25139,186,32,91999
France 3 Bourgogne,25,29,84,59,2434,32361,0,109590,197,88,141951
France 3 Bretagne,42,55,184,44,0,88518,0,147680,325,99,236198
France 3 Centre-Val de Loire,167,95,113,19,20119,108927,0,52406,394,114,161333
France 3 Champagne-Ardenne,118,59,356,26,7181,100044,0,30356,559,85,130400
France 3 Côte d'Azur,3,43,288,7,0,167459,0,15386,341,50,182845
France 3 Franche-Comté,26,4,53,52,1807,6787,0,68904,135,56,75691
France 3 Limousin (désactivée),5,40,26,62,1338,34124,0,45720,133,102,79844
France 3 Nord Pas-de-Calais,10,197,717,72,0,1191700,0,233407,996,269,1425107
France 3 Normandie,50,26,31,23,3610,48578,0,63501,130,49,112079
France 3 Nouvelle-Aquitaine,26,58,180,139,2896,144623,0,402961,403,197,547584
France 3 Occitanie,60,43,122,37,15882,39173,0,29370,262,80,68543
France 3 P-C (désactivité),23,40,77,66,0,57534,0,87753,206,106,145287
France 3 Paris Île-de-France,129,256,460,316,27964,72032,0,86470,1161,572,158502
France 3 Pays de la Loire,4,166,21,59,503,74207,0,24608,250,225,98815
France 3 Picardie,233,191,845,223,4088,190267,0,216714,1492,414,406981
France 3 Provence-Alpes,1,36,555,52,0,48632,0,47874,644,88,96506
FRANCE 3 RHONE ALPES,44,54,171,11,20000,101459,0,32128,280,65,133587
France Bleu,6,13,22,10,0,40026,0,26041,51,23,66067
France Bleu Alsace,,,5,2,,,0,1457,7,2,1457
France Bleu Auxerre,7,3,36,3,0,713,0,1043,49,6,1756
France Bleu Azur,,9,14,9,,3809,0,5756,32,18,9565
France Bleu Basse-Normandie,1,,3,,0,,0,,4,0,0
France Bleu Béarn Bigorre,,1,12,1,,620,0,811,14,2,1431
France Bleu Berry,4,1,47,2,0,591,0,2077,54,3,2668
France Bleu Besançon,20,,37,3,0,,0,1299,60,3,1299
France Bleu Bourgogne,,5,9,2,,1333,0,745,16,7,2078
France Bleu Breizh Izel,9,1,36,21,0,258,0,7881,67,22,8139
France Bleu Champagne Ardenne,1,1,26,1,0,156,0,200,29,2,356
France Bleu Drôme Ardèche,68,62,292,71,0,14660,0,31185,493,133,45845
France Bleu Elsass,1,13,202,43,0,1782,0,7427,259,56,9209
France Bleu Gard Lozère,28,10,62,11,831,2339,0,3190,111,21,5529
France Bleu Gascogne,58,1,910,39,212,107,0,7475,1008,40,7582
France Bleu Gironde,20,1,92,22,2591,622,0,27757,135,23,28379
France Bleu Hérault,70,35,479,23,0,6029,0,6469,607,58,12498
France Bleu Isère,3,17,12,18,95,2767,0,4183,50,35,6950
France Bleu Lorraine Nord,66,3,49,35,367,491,0,7239,153,38,7730
France Bleu Mayenne,22,,630,20,0,,0,8679,672,20,8679
France Bleu Normandie 7627,41,,115,31,0,,0,9602,187,31,9602
France Bleu Occitanie,30,2,39,10,824,277,0,2292,81,12,2569
France Bleu Paris,24,1,13,10,0,243,0,4808,48,11,5051
France Bleu Paris - 100% PSG,2,,33,15,0,,0,11240,50,15,11240
France Bleu Pays D'Auvergne,4,,92,20,1297,,0,11808,116,20,11808
France Bleu Périgord,152,129,1740,152,16935,129074,0,184803,2173,281,313877
France Bleu Picardie,1,1,24,6,0,4,0,2019,32,7,2023
𝐹𝑟𝑎𝑛𝑐𝑒 𝐵𝐿𝐸𝑈 𝑃𝑜𝑖𝑡𝑜𝑢,17,4,91,9,500,1241,0,3517,121,13,4758
France Bleu Provence,11,,137,5,0,,0,5309,153,5,5309
France Bleu Roussillon,27,5,229,6,2460,6614,0,14917,267,11,21531
France Bleu St-Étienne Loire,10,25,6,6,158,4924,0,1052,47,31,5976
France Bleu Sud Lorraine,24,3,169,14,1792,1359,0,8845,210,17,10204
France Bleu Vaucluse,2,2,30,5,0,744,0,1902,39,7,2646
France Culture,17,197,30,3,40334,9623664,0,41555,247,200,9665219
France Inter,177,257,323,59,0,16435078,0,2340712,816,316,18775790
France2,4,42,92,11,0,312340,0,68172,149,53,380512
France3 Corse ViaStella,5,6,4,65,0,27846,0,269726,80,71,297572
France3Lorraine,11,27,54,43,0,24195,0,37977,135,70,62172
FranceBleu Belfort Montbéliard,,,3,1,,,0,411,4,1,411
francebleunord,2,1,41,9,0,240,0,1897,53,10,2137
franceinfo,268,176,368,215,0,5217683,0,3404834,1027,391,8622517
franceinfo vidéo,,179,1,1,,5430309,0,20530,181,180,5450839
HugoDécrypte,468,9,11,3,15233808,2072712,0,976777,491,12,3049489
Konbini,7,708,46,274,0,339172179,0,110195980,1035,982,449368159
Konbini arts,59,28,269,37,0,2827915,0,314629,393,65,3142544
Konbini sports,,26,7,1,,1011346,0,2087,34,27,1013433
L' Est-éclair,5,28,208,39,176,34508,0,93338,280,67,127846
L'Équipe,499,50,1455,13,0,4325971,0,1329741,2017,63,5655712
L'Est Républicain,88,5,266,1,0,7422,0,11730,360,6,19152
L'Express,3,38,29,4,0,41124,0,4766,74,42,45890
L'Indépendant,66,,114,39,0,,0,50554,219,39,50554
L'Obs,78,,480,15,0,,0,88871,573,15,88871
L’Écho Républicain,7,,6,,0,,0,,13,0,0
La Dépêche du Midi,6,,27,,0,,0,,33,0,0
La Montagne,8,1,197,13,0,7971,0,82642,219,14,90613
La Montagne Montluçon,24,1,9,3,0,1765,0,5646,37,4,7411
La Montagne Moulins,34,,10,7,28550,,0,11209,51,7,11209
La Montagne Vichy,1,,130,8,0,,0,16772,139,8,16772
La Nouvelle République,9,1,6,2,1194,919,0,2839,18,3,3758
La Nouvelle Republique Indre,4,4,22,11,0,9135,0,24086,41,15,33221
La Provence,7,23,954,,0,456151,0,,984,23,456151
La République des Pyrénées,24,52,43,17,0,274074,0,82998,136,69,357072
La République du Centre,2,,27,,0,,0,,29,0,0
La Voix du Nord,141,22,772,16,0,149764,0,111247,951,38,261011
La Voix du Nord Artois,73,27,42,40,203,7293,0,10512,182,67,17805
La Voix du Nord Hainaut,3,,10,,0,,0,,13,0,0
La Voix du Nord Littoral 🗞📲💻,35,,119,4,0,,0,979,158,4,979
La Voix du Nord Métropole,34,,39,10,0,,0,1749,83,10,1749
LCI,108,711,248,37,218028,10263477,0,165837,1104,748,10429314
Le Berry républicain,38,,22,1,0,,0,1496,61,1,1496
Le Bien Public,85,9,140,23,24232,17271,0,45157,257,32,62428
Le Courrier de l'Ouest,2,2,40,,0,6119,0,,44,2,6119
Le Dauphiné Libéré,29,29,392,15,0,63264,0,47993,465,44,111257
Le Figaro 🗞,352,57,1038,75,0,934284,0,926274,1522,132,1860558
