Compte,Album (nb),IGTV (nb),Photo (nb),Video (nb),Album (vues),IGTV (vues),Photo (vues),Video (vues),Publications totales,IGTV+Video (nb),IGTV+Video (vues)
"98,5",14,3,20,8,1254,3975,0,8278,45,11,12253
CIMT TVA,6,,68,2,0,,0,514,76,2,514
Courrier Laval,2,,77,3,0,,0,1124,82,3,1124
EnBeauce.com,4,,47,,0,,0,,51,0,0
ICI Abitibi-Témiscamingue,8,,8,,0,,0,,16,0,0
ICI Mauricie Centre-du-Québec,46,19,16,4,179,8831,0,2123,85,23,10954
ICI Ottawa-Gatineau,24,1,1,1,410,577,0,374,27,2,951
ICI Québec,205,15,90,27,1260,30972,0,64420,337,42,95392
ICI Radio-Canada Côte-Nord,28,,12,10,0,,0,6196,50,10,6196
ICI Saguenay / Lac-Saint-Jean,16,3,99,,0,1321,0,,118,3,1321
Journal Métro,48,7,162,4,0,32612,0,2278,221,11,34890
L'actualité,58,2,226,5,0,656,0,1775,291,7,2431
La Presse,593,,344,5,14717,,0,25847,942,5,25847
La Tribune,30,,96,2,0,,0,883,128,2,883
Le Devoir,272,81,1209,3,0,737160,0,17074,1565,84,754234
le Droit,35,,65,4,0,,0,681,104,4,681
Le Journal de Montréal,23,,77,1,0,,0,4175,101,1,4175
Le Journal de Québec,84,,491,38,12611,,0,90400,613,38,90400
Le Nouvelliste,19,15,53,21,209,819,0,1736,108,36,2555
Le Quotidien,27,3,25,,0,507,0,,55,3,507
Le Soleil de Québec,40,5,333,3,0,7001,0,2998,381,8,9999
Les Affaires,2,,31,,0,,0,,33,0,0
Radio-Canada Arts,155,2,51,1,0,666,0,4707,209,3,5373
Radio-Canada Bas-Saint-Laurent,64,1,28,12,596,284,0,6237,105,13,6521
Radio-Canada Gaspésie-Îles,31,3,18,12,574,1237,0,7766,64,15,9003
Radio-Canada Information,780,449,96,52,648430,3270335,0,515634,1377,501,3785969
Radio-Canada Science,46,27,56,11,465,18717,0,7206,140,38,25923
Radio-Canada Sports,80,81,46,27,17968,73208,0,31598,234,108,104806
RDS,39,38,551,90,23157,215156,0,643742,718,128,858898
RDS_Direct,20,,261,70,0,,0,1120588,351,70,1120588
TVA Abitibi-Témiscamingue,1,,23,1,0,,0,291,25,1,291
TVA Nouvelles,63,93,39,48,286845,1714013,0,579140,243,141,2293153
TVA Québec,,,4,,,,0,,4,0,0
TVA Sports,45,47,255,88,38784,214141,0,335530,435,135,549671
