période,jour,mois,année,rang,émission,réseau,écoute(000),information,bulletin
Du 4 au 10 janvier 2010 / January 4th to 10th 2010,4,1,2010,1,Célébration 2010,TVA,1675,non,non
Du 4 au 10 janvier 2010 / January 4th to 10th 2010,4,1,2010,2,Juste pour rire hommage à RBO,TVA,1551,non,non
Du 4 au 10 janvier 2010 / January 4th to 10th 2010,4,1,2010,3,Juste pour rire,TVA,1334,non,non
Du 4 au 10 janvier 2010 / January 4th to 10th 2010,4,1,2010,4,SP: Bloopers TVA,TVA,1323,non,non
Du 4 au 10 janvier 2010 / January 4th to 10th 2010,4,1,2010,5,Mannequins d'un jour,TVA,1205,non,non
Du 4 au 10 janvier 2010 / January 4th to 10th 2010,4,1,2010,6,"Gags, Les",TVA,1130,non,non
Du 4 au 10 janvier 2010 / January 4th to 10th 2010,4,1,2010,6,"Poule aux oeufs d'or, La",TVA,1197,non,non
Du 4 au 10 janvier 2010 / January 4th to 10th 2010,4,1,2010,8,"Parent, Les",SRC,1125,non,non
Du 4 au 10 janvier 2010 / January 4th to 10th 2010,4,1,2010,9,"TVA 18 heures, Le",TVA,1104,oui,oui
Du 4 au 10 janvier 2010 / January 4th to 10th 2010,4,1,2010,10,Trauma,SRC,1095,non,non
Du 4 au 10 janvier 2010 / January 4th to 10th 2010,4,1,2010,11,Mirador,SRC,1067,non,non
Du 4 au 10 janvier 2010 / January 4th to 10th 2010,4,1,2010,12,Providence,SRC,1064,non,non
Du 4 au 10 janvier 2010 / January 4th to 10th 2010,4,1,2010,13,Destinées,TVA,1063,non,non
Du 4 au 10 janvier 2010 / January 4th to 10th 2010,4,1,2010,14,"Sketch Show en rappel, Le",TVA,1000,non,non
Du 4 au 10 janvier 2010 / January 4th to 10th 2010,4,1,2010,15,"Cercle, Le",TVA,984,non,non
Du 4 au 10 janvier 2010 / January 4th to 10th 2010,4,1,2010,16,"TVA 17 heures, Le",TVA,968,oui,oui
Du 4 au 10 janvier 2010 / January 4th to 10th 2010,4,1,2010,17,"Gags, Les",TVA,964,non,non
Du 4 au 10 janvier 2010 / January 4th to 10th 2010,4,1,2010,18,Du talent à revendre,TVA,941,non,non
Du 4 au 10 janvier 2010 / January 4th to 10th 2010,4,1,2010,19,Auberge chien noir,SRC,937,non,non
Du 4 au 10 janvier 2010 / January 4th to 10th 2010,4,1,2010,20,Drôles de vidéos,TVA,927,non,non
Du 4 au 10 janvier 2010 / January 4th to 10th 2010,4,1,2010,21,Juste pour rire,TVA,865,non,non
Du 4 au 10 janvier 2010 / January 4th to 10th 2010,4,1,2010,22,TVA Nouvelles (18h-SD),TVA,846,oui,oui
